,Track ID,Name,Artist,Album,Genre,Location,Kind,Size,Total Time
59,330,Alone With Numbers,Alexandre Desplat,The Imitation Game [Original Soundtrack],Soundtrack,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Alexandre%20Desplat/The%20Imitation%20Game%20%5BOriginal%20Soundtrack%5D/10%20Alone%20With%20Numbers.mp3,MPEG audio file,5352589,178311
60,332,The Machine Christopher,Alexandre Desplat,The Imitation Game [Original Soundtrack],Soundtrack,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Alexandre%20Desplat/The%20Imitation%20Game%20%5BOriginal%20Soundtrack%5D/11%20The%20Machine%20Christopher.mp3,MPEG audio file,3684108,117394
61,334,Running,Alexandre Desplat,The Imitation Game [Original Soundtrack],Soundtrack,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Alexandre%20Desplat/The%20Imitation%20Game%20%5BOriginal%20Soundtrack%5D/12%20Running.mp3,MPEG audio file,5355242,181420
62,336,The Headmaster,Alexandre Desplat,The Imitation Game [Original Soundtrack],Soundtrack,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Alexandre%20Desplat/The%20Imitation%20Game%20%5BOriginal%20Soundtrack%5D/13%20The%20Headmaster.mp3,MPEG audio file,4286740,147722
63,338,Decrypting,Alexandre Desplat,The Imitation Game [Original Soundtrack],Soundtrack,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Alexandre%20Desplat/The%20Imitation%20Game%20%5BOriginal%20Soundtrack%5D/14%20Decrypting.mp3,MPEG audio file,3900117,121234
64,340,A Different Equation,Alexandre Desplat,The Imitation Game [Original Soundtrack],Soundtrack,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Alexandre%20Desplat/The%20Imitation%20Game%20%5BOriginal%20Soundtrack%5D/15%20A%20Different%20Equation.mp3,MPEG audio file,5185572,174889
65,342,Becoming a Spy,Alexandre Desplat,The Imitation Game [Original Soundtrack],Soundtrack,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Alexandre%20Desplat/The%20Imitation%20Game%20%5BOriginal%20Soundtrack%5D/16%20Becoming%20a%20Spy.mp3,MPEG audio file,7050869,248816
66,344,The Apple,Alexandre Desplat,The Imitation Game [Original Soundtrack],Soundtrack,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Alexandre%20Desplat/The%20Imitation%20Game%20%5BOriginal%20Soundtrack%5D/17%20The%20Apple.mp3,MPEG audio file,4115879,140878
67,346,Farewell to Christopher,Alexandre Desplat,The Imitation Game [Original Soundtrack],Soundtrack,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Alexandre%20Desplat/The%20Imitation%20Game%20%5BOriginal%20Soundtrack%5D/18%20Farewell%20to%20Christopher.mp3,MPEG audio file,4745781,161044
68,348,End of War,Alexandre Desplat,The Imitation Game [Original Soundtrack],Soundtrack,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Alexandre%20Desplat/The%20Imitation%20Game%20%5BOriginal%20Soundtrack%5D/19%20End%20of%20War.mp3,MPEG audio file,3738210,127817
